"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity test","Test1","FAILURE","2019-01-09T11:46:13.952Z[Europe/London]","0.0","3.39"
"Serenity test","Test2","PENDING","2019-01-09T11:46:19.097Z[Europe/London]","0.0","1.78"
"Serenity test","Test3","IGNORED","2019-01-09T11:46:20.877Z[Europe/London]","0.0","1.18"
"Serenity test","Test4","ERROR","2019-01-09T11:46:22.092Z[Europe/London]","0.0","1.66"
"Serenity test","Test5","COMPROMISED","2019-01-09T11:46:23.771Z[Europe/London]","0.0","1.52"
"Serenity test","Test6","PENDING","2019-01-09T11:46:25.299Z[Europe/London]","0.0","1.69"
"Serenity test","this test will make an API call","SUCCESS","2019-01-09T11:46:27.022Z[Europe/London]","0.0","7.78"
